v2	v1	decl	premise	v1_succ	v1_fail	v2_succ	v2_fail	category	note
0	0	def $filter_list_	-- if X*{X <- X*} matches []	374	164019	374	164019	falsifiable-covered	
1	1	def $filter_list_	-- if X*{X <- X*} matches _ :: _	164019	0	164019	0	unfalsifiable-closing	
3	3	def $filter_list_	-- if ($cond(X_h) = true)	29321	134698	29321	134698	falsifiable-covered	
4	4	def $filter_list_	-- if X*{X <- X*} matches _ :: _	134698	0	134698	0	unfalsifiable-closing	
6	6	def $filter_list_	-- if ($cond(X_h) = false)	134698	0	134698	0	unfalsifiable-closing	
7	7	def $filter_list_2_	-- if X*{X <- X*} matches []	23371	7223762	23371	7223762	falsifiable-covered	
8	8	def $filter_list_2_	-- if X*{X <- X*} matches _ :: _	7223762	0	7223762	0	unfalsifiable-closing	
10	10	def $filter_list_2_	-- if ($cond(X_h, Y) = true)	5134741	2089021	5134741	2089021	falsifiable-covered	
11	11	def $filter_list_2_	-- if X*{X <- X*} matches _ :: _	2089021	0	2089021	0	unfalsifiable-closing	
13	13	def $filter_list_2_	-- if ($cond(X_h, Y) = false)	2089021	0	2089021	0	unfalsifiable-closing	
14	14	def $fold_	-- if Y*{Y <- Y*} matches []	9744	872995	9744	872995	falsifiable-covered	
15	15	def $fold_	-- if Y*{Y <- Y*} matches _ :: _	872995	0	872995	0	unfalsifiable-closing	
17	17	def $has_flag	-- if (n >= 8)	0	1252	0	1252	falsifiable-covered	
18	18	def $has_flag	-- if (((participationFlags / $pow2(n)) \ 2) = 1)	141	1111	141	1111	falsifiable-covered	
20	20	def $add_flag	-- if (n >= 8)	0	1024	0	1024	falsifiable-covered	
21	21	def $add_flag	-- if (((participationFlags / $pow2(n)) \ 2) = 1)	0	1024	0	1024	falsifiable-covered	
23	23	def $max_uint64	-- if (x >= y)	403951	396725	403951	396725	falsifiable-covered	
25	25	def $min_uint64	-- if (x <= y)	632	1482	632	1482	falsifiable-covered	
27	27	def $eth_fast_aggregate_verify	-- if (|blsPubkey*{blsPubkey <- blsPubkey*}| = 0)	529	18	529	18	falsifiable-covered	
28	28	def $eth_fast_aggregate_verify	-- if (blsSignature = $G2_POINT_AT_INFINITY)	529	0	529	0	falsifiable-covered	covered by generated tests (combined fail=176)
30	30	def $index_of_pubkey	-- if (validatorIndex, blsPubkey)*{(validatorIndex, blsPubkey) <- (validatorIndex, blsPubkey)*} matches _ :: _	19059582	0	19059582	0	falsifiable-covered	was unfalsifiable-tautology; covered by generated tests (combined fail=77); falsified by sync-committee pubkey orphaning: committee-side (mut_prem921_51_3, current_sync_committee.pubkeys[511]->junk) or registry-side (mut_prem160_prem332_prem783_46_0, validators[0] zero-pubkey, non-proposer); $index_of_pubkey exhausts in ProcessSyncAggregate; both confirmed by isolated rerun
32	32	def $index_of_pubkey	-- if (blsPubkey_h = blsPubkey_committee)	142468	18917114	142468	18917114	falsifiable-covered	
33	33	def $index_of_pubkey	-- if (validatorIndex, blsPubkey)*{(validatorIndex, blsPubkey) <- (validatorIndex, blsPubkey)*} matches _ :: _	18917114	0	18917114	0	falsifiable-covered	was unfalsifiable-tautology; covered by generated tests (combined fail=77); falsified by sync-committee pubkey orphaning: committee-side (mut_prem921_51_3, current_sync_committee.pubkeys[511]->junk) or registry-side (mut_prem160_prem332_prem783_46_0, validators[0] zero-pubkey, non-proposer); $index_of_pubkey exhausts in ProcessSyncAggregate; both confirmed by isolated rerun
36	36	def $get_previous_epoch	-- if ($get_current_epoch(state) = $GENESIS_EPOCH)	0	5615	0	5615	falsifiable-covered	
38	38	def $get_prev_slot	-- if (slot = 0)	0	547	0	547	falsifiable-covered	
40	40	def $compute_domain	-- if version'?{version' <- version'?} matches (_)	1590	39	1590	39	falsifiable-covered	
42	42	def $compute_domain	-- if root'?{root' <- root'?} matches (_)	1590	0	1590	0	unfalsifiable-tautology	
44	44	def $compute_domain	-- if version?{version <- version?} matches ()	39	0	39	0	unfalsifiable-closing	
45	45	def $compute_domain	-- if root?{root <- root?} matches ()	20	19	20	19	falsifiable-covered	
46	46	def $compute_domain	-- if version'?{version' <- version'?} matches (_)	0	19	0	19	falsifiable-covered	dispatch mirror of 45 (exact fail-set identity: version-none/root-some calls); independent dispatch signal, not abort-spillover
48	48	def $compute_domain	-- if root?{root <- root?} matches ()	0	0	0	0	unfalsifiable-tautology	call-site combination (version-some, root-none) never occurs
49	49	def $compute_domain	-- if version?{version <- version?} matches ()	19	0	19	0	unfalsifiable-closing	
50	50	def $compute_domain	-- if root'?{root' <- root'?} matches (_)	19	0	19	0	unfalsifiable-closing	
52	52	def $get_domain	-- if epoch?{epoch <- epoch?} matches ()	556	1732	556	1732	falsifiable-covered	
54	54	def $get_domain	-- if (epoch_cur < state.FORK.EPOCH)	0	556	0	556	falsifiable-covered	
55	55	def $get_domain	-- if epoch?{epoch <- epoch?} matches ()	556	1732	556	1732	falsifiable-covered	markdown: redundant (deferred)
58	58	def $get_domain	-- if epoch'?{epoch' <- epoch'?} matches (_)	1732	0	1732	0	unfalsifiable-closing	
60	60	def $get_domain	-- if (epoch < state.FORK.EPOCH)	0	1732	0	1732	falsifiable-covered	
61	61	def $get_domain	-- if epoch'?{epoch' <- epoch'?} matches (_)	1732	0	1732	0	unfalsifiable-closing	
64		def $verify_block_signature	-- if (signedBeaconBlock.MESSAGE.PROPOSER_INDEX < |state.VALIDATORS|)			0	0	unfalsifiable-tautology	new-in-v2; F15; validate-gated; validate-gated; out-of-scope, paper-folded
67	66	def $verify_block_signature	-- if $bls_verify(validator_proposer.PUBKEY, root_signing, signedBeaconBlock.SIGNATURE)	0	0	0	0	unfalsifiable-tautology	validate-gated; out-of-scope, paper-folded
69	68	def $is_active_validator	-- if (validator.ACTIVATION_EPOCH <= epoch)	344815	4149	344815	4149	falsifiable-covered	
70	69	def $is_active_validator	-- if (epoch < validator.EXIT_EPOCH)	341643	3172	341643	3172	falsifiable-covered	
72	71	def $is_eligible_for_activation_queue	-- if (validator.ACTIVATION_ELIGIBILITY_EPOCH = $FAR_FUTURE_EPOCH)	96	11520	96	11520	falsifiable-covered	
73	72	def $is_eligible_for_activation_queue	-- if (validator.EFFECTIVE_BALANCE = $MAX_EFFECTIVE_BALANCE)	96	0	96	0	falsifiable-covered	covered by generated tests (combined fail=126)
75	74	def $is_eligible_for_activation	-- if (validator.ACTIVATION_ELIGIBILITY_EPOCH <= state.FINALIZED_CHECKPOINT.EPOCH)	11520	96	11520	96	falsifiable-covered	
76	75	def $is_eligible_for_activation	-- if (validator.ACTIVATION_EPOCH = $FAR_FUTURE_EPOCH)	405	11115	405	11115	falsifiable-covered	
78	77	def $is_slashable_validator	-- if ~validator.SLASHED	210	12	210	12	falsifiable-covered	
79	78	def $is_slashable_validator	-- if (validator.ACTIVATION_EPOCH <= epoch)	210	0	210	0	unfalsifiable-tautology	
80	79	def $is_slashable_validator	-- if (epoch < validator.WITHDRAWABLE_EPOCH)	210	0	210	0	target-limitation	paper: counted falsifiable, unreached; limitation-provenance: op-determined validator instance; provenance does not bind the slashing-op index
82	81	def $is_fully_withdrawable_validator	-- if ($has_eth1_withdrawal_credential(validator) = true)	127	145574	127	145574	falsifiable-covered	
83	82	def $is_fully_withdrawable_validator	-- if (validator.WITHDRAWABLE_EPOCH <= epoch)	27	100	27	100	falsifiable-covered	
84	83	def $is_fully_withdrawable_validator	-- if (balance > 0)	26	1	26	1	falsifiable-covered	
86	85	def $is_partially_withdrawable_validator	-- if ($has_eth1_withdrawal_credential(validator) = true)	101	145574	101	145574	falsifiable-covered	
87	86	def $is_partially_withdrawable_validator	-- if (validator.EFFECTIVE_BALANCE = $MAX_EFFECTIVE_BALANCE)	69	32	69	32	falsifiable-covered	
88	87	def $is_partially_withdrawable_validator	-- if (balance > $MAX_EFFECTIVE_BALANCE)	68	1	68	1	falsifiable-covered	
104		def $has_flag_for_index	-- if (vid < |participationFlags_list*{participationFlags_list <- participationFlags_list*}|)			2998228	0	falsifiable-covered	new-in-v2; F5; covered by generated tests (combined fail=322)
105	103	def $is_unslashed	-- if (vid < |state.VALIDATORS|)	942694	0	942694	0	unfalsifiable-tautology	
107	105	def $is_unslashed	-- if (validator.SLASHED = false)	761374	181320	761374	181320	falsifiable-covered	
109	107	def $get_unslashed_participating_indices	-- if ($get_current_epoch(state) = epoch)	27	5194	27	5194	falsifiable-covered	
113	111	def $get_unslashed_participating_indices	-- if ($get_previous_epoch(state) = epoch)	5194	0	5194	0	unfalsifiable-tautology	
117	115	def $get_block_root_at_slot	-- if (slot < state.SLOT)	2827	0	2827	0	unfalsifiable-tautology	
118		def $get_block_root_at_slot	-- if (slot <= ($UINT64_MAX - $SLOTS_PER_HISTORICAL_ROOT))			2827	0	target-limitation	new-in-v2; F4; needs coordinated state+block slot edits; limitation-coordinated: needs coordinated state+block slot edits
119	116	def $get_block_root_at_slot	-- if (state.SLOT <= (slot + $SLOTS_PER_HISTORICAL_ROOT))	2827	0	2827	0	unfalsifiable-tautology	
121	118	def $get_finality_delay	-- if ($get_previous_epoch(state) >= state.FINALIZED_CHECKPOINT.EPOCH)	5109	0	5109	0	falsifiable-covered	underflow check; covered by generated tests (combined fail=63)
122	119	def $choose_index	-- if (nat_bit = 1)	409340	407762	409340	407762	falsifiable-covered	
145	142	def $compute_proposer_index_loop	-- if (balance_effective <= ($UINT64_MAX / $MAX_RANDOM_BYTE))	2922	0	2922	0	falsifiable-covered	overflow check; covered by generated tests (combined fail=112)
146	143	def $compute_proposer_index_loop	-- if ((balance_effective * $MAX_RANDOM_BYTE) >= ($MAX_EFFECTIVE_BALANCE * uint64_random_byte))	2862	60	2862	60	falsifiable-covered	
151		def $compute_proposer_index_loop	-- if (balance_effective <= ($UINT64_MAX / $MAX_RANDOM_BYTE))			60	0	falsifiable-covered	new-in-v2; F11; copy of 145; covered by generated tests (combined fail=112)
152		def $compute_proposer_index_loop	-- if ((balance_effective * $MAX_RANDOM_BYTE) < ($MAX_EFFECTIVE_BALANCE * uint64_random_byte))			60	0	unfalsifiable-closing	new-in-v2; F11; complement of 146
153	145	def $compute_proposer_index	-- if (|vid*{vid <- vid*}| > 0)	2862	0	2862	0	falsifiable-covered	covered by generated tests (combined fail=56)
158	150	relation IncreaseBalance	-- if (vid < |state.BALANCES|)	53181	0	53181	0	falsifiable-covered	was unfalsifiable-tautology; covered by generated tests (combined fail=129); falsified by mut_prem624_prem677_prem684 family: balances truncated + epoch-boundary seed, rewards iterate range(|VALIDATORS|); confirmed by isolated rerun (20 fails reproduced)
160		relation IncreaseBalance	-- if (balance <= ($UINT64_MAX - delta))			53181	0	falsifiable-covered	new-in-v2; F1; covered by generated tests (combined fail=62)
161	152	relation DecreaseBalance	-- if (vid < |state.BALANCES|)	309476	0	309476	0	unfalsifiable-tautology	
163	154	relation DecreaseBalance	-- if (delta > balance)	57	309419	57	309419	falsifiable-covered	
164	155	relation DecreaseBalance	-- if (vid < |state.BALANCES|)	309419	0	309419	0	unfalsifiable-tautology	
166	157	relation DecreaseBalance	-- if (delta <= balance)	309419	0	309419	0	unfalsifiable-closing	
167	158	def $exit_epoch_not_far_future	-- if (validator.EXIT_EPOCH =/= $FAR_FUTURE_EPOCH)	29321	269396	29321	269396	falsifiable-covered	
169	160	def $exit_epoch_eq	-- if (validator.EXIT_EPOCH = epoch)	869	56904	869	56904	falsifiable-covered	
171	162	def $select_epoch_exit_queue	-- if (uint64_churn >= uint64_limit)	84	290	84	290	falsifiable-covered	
173	164	relation InitiateValidatorExit	-- if (vid < |state.VALIDATORS|)	463	0	463	0	unfalsifiable-tautology	
175	166	relation InitiateValidatorExit	-- if (validator.EXIT_EPOCH =/= $FAR_FUTURE_EPOCH)	89	374	89	374	falsifiable-covered	
